City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Awbari,LY,26.5921,12.7805,81.25,24,84,6.49,broken clouds
166,Mahebourg,MU,-20.4081,57.7,74.25,78,40,12.66,scattered clouds
167,Klaksvik,FO,62.2266,-6.589,50.92,90,96,23.73,overcast clouds
168,High Rock,BS,26.6208,-78.2833,84.22,75,100,9.8,light rain
169,Sioux Lookout,CA,50.1001,-91.917,37.47,75,75,3.44,broken clouds
170,Mega,ET,4.05,38.3,65.14,61,12,8.37,few clouds
171,Souillac,MU,-20.5167,57.5167,74.35,78,40,12.66,scattered clouds
172,Marsaxlokk,MT,35.8419,14.5431,71.08,83,40,5.75,scattered clouds
173,Laem Sing,TH,12.4816,102.0738,84.15,88,100,9.64,overcast clouds
174,Chokurdakh,RU,70.6333,147.9167,-5.94,99,100,3.09,overcast clouds
175,Nanchang,CN,28.6833,115.8833,56.5,73,13,4.72,light rain
176,Lafiagi,NG,8.8667,5.4167,80.51,73,60,1.83,broken clouds
177,Santa Maria,BR,-29.6842,-53.8069,72.7,33,0,4.61,clear sky
178,Nicoya,CR,10.1483,-85.452,87.35,78,52,2.66,light rain
179,Belaya Gora,RU,68.5333,146.4167,-1.05,90,100,1.81,overcast clouds
180,Urumqi,CN,43.801,87.6005,34.75,75,0,2.24,clear sky
181,Ilebo,CD,-4.3167,20.5833,73.71,91,100,1.1,overcast clouds
182,Kavaratti,IN,10.5669,72.642,81.37,76,16,6.15,few clouds
183,Beringovskiy,RU,63.05,179.3167,7.75,87,52,7.18,broken clouds
184,Keti Bandar,PK,24.1447,67.4497,78.76,59,0,5.53,clear sky
185,Pedernales,DO,18.0384,-71.744,86.02,62,58,2.33,broken clouds
186,Lincoln,US,40.8,-96.667,51.24,96,90,3.0,heavy intensity rain
187,Kamien Pomorski,PL,53.9685,14.7726,47.5,75,99,12.82,overcast clouds
188,Kieta,PG,-6.2167,155.6333,79.23,79,82,0.49,broken clouds
189,Constitucion,CL,-35.3333,-72.4167,63.59,65,4,18.68,clear sky
